the_geom,cartodb_id,the_geom_webmercator,objectid,_ds_write_method,access_direction,access_direction_cardinal,accessible,baby_change_facilities,bbq,boat_ramp,caravan_disposal,carriageway_code,carriageway_configuration,category,construction_date,description,distance_from,driver_reviver,emergency_phones,entry_taper,exit_taper,food_available,fuel_available,guid,heavy_vehicle_parking_capacity,heavy_vehicles_parking_type,last_updated,latitude,lga,light_vehicle_parking_capacity,light_vehicles_parking_type,lighting,link_no,litter_bins,longitude,lookout,ne_unique,pets_allowed,picnic_table,playground,power_outlets,power_supply,region,responsible_authority,rest_area_name,rest_area_number,road_name,road_number,separated_parking_areas_light_heavy,shade,shelter,side_of_road,sign_non_potable,site_status,sports_ground,suburb,invalid_the_geom,toilets,tourist_information,tree_shading,vehicle_type,water_supply_type
0104000020E61000000100000001010000008E1EBFB7E9956240CE495C72DCB13FC0,3640,0104000020110F00000100000001010000009D27F23FCB916F4102740D6617684CC1,,,Prescribed,Both Directions,,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,3.5km North of Gilgrandra,,,,,,,,,,2024-04-17 00:00:00+00,-31.69477,GILGANDRA,,,,2985,TRUE,148.68478,,"0000017,2985,A1",,,,,,West,Transport for NSW,Informal area north of Gilgandra,896,NEWELL HIGHWAY,17,,,,Left,,,,GILGANDRA,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E6100000010000000101000000E7FBA9F1D2C36240DAE2D4B2B5EE41C0,3641,0104000020110F0000010000000101000000A35E8A49C7DF6F412184289DB05550C1,,,Both,Both Directions,TRUE,,TRUE,,,A,,Class 4 Heavy Vehicle Rest Area,,,20km South of Batemans Bay,,,,,,,,,,2024-04-17 00:00:00+00,-35.86492,EUROBODALLA,,,TRUE,2011,TRUE,150.1195,,"0000001,2011,A2",,TRUE,,,,South,Transport for NSW,Waldron Swamp Rest Area S/B,353,PRINCES HIGHWAY,1,,,TRUE,Left,,,,MORUYA,,4,,,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E6100000010000000101000000029F1F46089562402678956071B83FC0,3642,0104000020110F0000010000000101000000F9AE8C4F4C906F417767BD79A96E4CC1,,,Both,Both Directions,TRUE,,TRUE,,,A,,Light Vehicle Only Rest Area,,,Gilgrandra town,,TRUE,,,,,,,,2024-04-17 00:00:00+00,-31.72048,GILGANDRA,,,TRUE,2950,,148.65726,,"0000017,2950,A2",,TRUE,,,,West,Council,Gilgandra Coo-ee Heritage Centre,898,CASTLEREAGH ST,17,,TRUE,,Right,,,,GILGANDRA,,0,,TRUE,Light Vehicle Only,Town Supply
0104000020E61000000100000001010000007B14AE47E170624020D8CCCCCCE040C0,3643,0104000020110F0000010000000101000000D736B2C5E3526F4193B75890EB7C4EC1,,,Both,Both Directions,TRUE,,,,,A,,Class 5 Heavy Vehicle Rest Area,,,38km from West Wyalong,,,,,,,,,,2024-04-17 00:00:00+00,-33.75625,WEDDIN,,,,2505,TRUE,147.5275,,"0000017,2505,A1",,,,,,West,Transport for NSW,Truck parking bay junction of HW6 & HW17.,780,NEWELL HIGHWAY,17,,,,Right,,,,CARAGABAL,,0,,,BOTH LIGHT AND HEAVY VEHICLES,None
0104000020E61000000100000001010000000C022B87165162403DBADD76A16141C0,3644,0104000020110F0000010000000101000000A8E17148E31C6F41401A9782B2854FC1,,,Prescribed,,,,,,,A,Main Carriageway,Class 5 Heavy Vehicle Rest Area,,,,,,,,,,,,,2024-04-17 00:00:00+00,-34.76274,NARRANDERA,,,TRUE,231,,146.534,,"0000014,0231,A1",,,,,,South,Transport for NSW,Gillenbah,3102,STURT HIGHWAY,14,,,,Left,,,,GILLENBAH,,0,,,HEAVY VEHICLES ONLY,None
0104000020E6100000010000000101000000C7116BF129B76240008DFFAD64C340C0,3645,0104000020110F00000100000001010000008DD7F91E46CA6F41E3B4BEDAEB404EC1,,,Both,Both Directions,TRUE,,TRUE,,,A,,Light Vehicle Only Rest Area,,,16.5km from Bathurst,,,,,,,,,,2024-04-17 00:00:00+00,-33.52651,OBERON,,,,191,TRUE,149.72387,,"0000253,0191,A1",,TRUE,TRUE,,,West,Other,Oconnell Playground NSW Sport & Rec Org.,1387,HARTLEY-JENOLAN CAVES-BATHURST,253,,TRUE,TRUE,Left,,,,O'CONNELL,,1,,TRUE,Light Vehicle Only,None
0104000020E61000000100000001010000007C7E18213CC762407DDEDEC325D73CC0,3646,0104000020110F0000010000000101000000841BF77A92E56F41F953435B6B9949C1,,,Both,Both Directions,TRUE,,,,,A,,Class 4 Heavy Vehicle Rest Area,,,84.3km North of Moree,,,,,,,,,,2024-04-17 00:00:00+00,-28.84042,MOREE PLAINS,,,TRUE,3370,TRUE,150.22609,,"0000017,3370,A1",,TRUE,,,,West,Transport for NSW,North Star Rd Rest Area,1350,NEWELL HIGHWAY,17,,TRUE,,Right,,,,BOGGABILLA,,4,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Rainwater Tank
0104000020E61000000100000001010000008DEE2076A6306340C503751F806C3CC0,3647,0104000020110F0000010000000101000000B7C494BD504C704199852074393249C1,,,Prescribed,Northbound,TRUE,,,,,B,Physical Seperation,Class 3 Heavy Vehicle Rest Area,,,58.2km North of Ballina,,,,,,,,,,2024-04-17 00:00:00+00,-28.42383,TWEED,,,TRUE,3305,TRUE,153.52032,,"0000010,3305,B1",,TRUE,TRUE,,,North,Transport for NSW,Sleepy Hollow Rest Area Northbound,554,PACIFIC HIGHWAY,10,,TRUE,,Left,,Open,,SLEEPY HOLLOW,,3,,TRUE,BOTH LIGHT AND HEAVY VEHICLES,Rainwater Tank
0104000020E6100000010000000101000000F31FD26F5F27634089159E5E29433DC0,3648,0104000020110F0000010000000101000000CAFEA1A16F4470416EAA13F05B024AC1,,,Prescribed,Northbound,TRUE,,,,,B,Physical Seperation,Class 4 Heavy Vehicle Rest Area,,,67.9km North of Grafton,,,,,,,,,,2024-04-17 00:00:00+00,-29.26235,CLARENCE VALLEY,,,TRUE,2945,TRUE,153.2304,,"0000010,2945,B2",,TRUE,,,,North,Transport for NSW,Bundjalung - Devils Pulpit SF,3282,Pacific Highway,10,,,,Left,,Open,,JACKY BULBIN FLAT,,3,,,BOTH LIGHT AND HEAVY VEHICLES,Water Truck
0104000020E6100000010000000101000000033E3F8C10D0624026B5122C0E2340C0,3649,0104000020110F0000010000000101000000B42F5A0792F46F41F7AC5D2089FC4CC1,,,Both,Both Directions,TRUE,,,,,A,Physical Seperation,Class 4 Heavy Vehicle Rest Area,,,27.0km from Denman,,,,,,,,,,2024-04-17 00:00:00+00,-32.27387,UPPER HUNTER,,,TRUE,200,TRUE,150.50202,,"0000027,0200,A1",TRUE,TRUE,,,,North,Transport for NSW,Gungal Rest Area,1708,GOLDEN HIGHWAY,27,,TRUE,TRUE,Right,,Open,,GUNGAL,,3,TRUE,TRUE,Light Vehicle Only,Water Truck
