topoid,poigroup,poitype,poiname,poilabel,poilabeltype,poialtlabel,poisourcefeatureoid,accesscontrol,startdate,enddate,lastupdate,msoid,centroidid,shapeuuid,changetype,processstate,urbanity,cadid,createdate,modifieddate,lganame,councilname,abscode,ltocode,vgcode,wbcode
517564767,2,University,CHARLES STURT UNIVERSITY SYDNEY STUDY CENTRE,CHARLES STURT UNIVERSITY SYDNEY STUDY CENTRE,NAMED,,39,1,20140826092606,30000101000000,20140826092648,166991,,0cf87161-d191-359d-92e9-8cc898d5b267,I,,U,,,,,,,,,
517565104,2,University,MAQUARIE UNIVERSITY CITY CAMPUS,MAQUARIE UNIVERSITY CITY CAMPUS,NAMED,,39,1,20140826092606,30000101000000,20140826092648,166996,,c21bfcc3-2ea3-3958-b14f-b5251aa69b22,I,,U,,,,,,,,,
517565130,2,University,SOUTHERN CROSS UNIVERSITY THE HOTEL SCHOOL,SOUTHERN CROSS UNIVERSITY THE HOTEL SCHOOL,NAMED,,39,1,20140826092606,30000101000000,20140826092648,166997,,839075ed-c8d8-336e-8ed7-98181cdd15fc,I,,U,,,,,,,,,
517565195,2,Education Facility,UNIVERSITY OF NEW SOUTH WALES CBD CAMPUS,UNIVERSITY OF NEW SOUTH WALES CBD CAMPUS,NAMED,,33,1,20140826092606,30000101000000,20140826092648,166998,,d8454996-98cb-3511-bc35-b74f121cd2b3,I,,U,,,,,,,,,
517565274,2,University,UNIVERSITY OF SYDNEY SURRY HILLS CAMPUS,UNIVERSITY OF SYDNEY SURRY HILLS CAMPUS,NAMED,,39,1,20140826092606,30000101000000,20140826092648,167002,,afb84fb8-4f6b-3eeb-a15e-c89bf14c0dfb,I,,U,,,,,,,,,
517565390,2,University,UNIVERSITY OF WOLLONGONG SYDNEY CBD CAMPUS,UNIVERSITY OF WOLLONGONG SYDNEY CBD CAMPUS,NAMED,,39,1,20140826092606,30000101000000,20140826092648,167006,,afd52e7f-a35a-34d7-9247-4852c83388b2,I,,U,,,,,,,,,
517570363,1,Court House,HOSPITAL ROAD COURT COMPLEX,HOSPITAL ROAD COURT COMPLEX,NAMED,,7,1,20140909110606,30000101000000,20140909110654,167462,,963f10f1-0bf3-3065-8529-d6ec4d9cc3af,I,,U,,,,,,,,,
517570377,1,Community Facility,KING ST COURTS,KING ST COURTS,NAMED,,162,1,20151002125614,30000101000000,20151002130113,197181,,59ce2d58-b03c-34fc-a973-313d3ce57454,M,,U,,,,,,,,,
517570450,1,Court House,ST JAMES ROAD COURT,ST JAMES ROAD COURT,NAMED,,7,1,20140909110606,30000101000000,20140909110654,167466,,b09f5178-1b76-3b62-89c5-533976cea670,I,,U,,,,,,,,,
517571415,1,Community Medical Centre,SYDNEY SEXUAL HEALTH CENTRE,SYDNEY SEXUAL HEALTH CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145620.992,222650,,badc8ff4-db71-37e6-8abc-4e2873c8faa4,M,,U,,,,,,,,,
517571499,1,Community Medical Centre,RUSHCUTTERS BAY DEMENTIA DAY CARE CENTRE,RUSHCUTTERS BAY DEMENTIA DAY CARE CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145621.097,222709,,9afe3d37-1704-368f-a90a-f80ee5bb9ae0,M,,U,,,,,,,,,
517571517,1,Community Medical Centre,THE ALBION CENTRE,THE ALBION CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145621.099,222710,,84389adc-ab1b-3632-bba3-1dc6e08eb69c,M,,U,,,,,,,,,
517571537,1,Community Medical Centre,CAMPERDOWN EARLY CHILDHOOD HEALTH CENTRE,CAMPERDOWN EARLY CHILDHOOD HEALTH CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145621,222711,,8d53f7b1-8e67-374d-a10d-ce3d0219b084,M,,U,,,,,,,,,
517571539,1,Community Medical Centre,CAMPERDOWN CHILD ADOLESCENT FAMILY HEALTH CENTRE,CAMPERDOWN CHILD ADOLESCENT FAMILY HEALTH CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145621,222712,,8d53f7b1-8e67-374d-a10d-ce3d0219b084,M,,U,,,,,,,,,
517571636,1,Community Medical Centre,ALEXANDRIA PARK COMMUNITY CENTRE,ALEXANDRIA PARK COMMUNITY CENTRE,NAMED,,166,1,20191029145511,30000101000000,20191029145621.107,222715,,d2708e8a-8bba-32ab-ae05-1d06e2cf7238,M,,U,,,,,,,,,
517573517,1,Tourist Information Centre,HAYMARKET VISITOR INFORMATION KIOSK,HAYMARKET VISITOR INFORMATION KIOSK,NAMED,,26,1,20140918144830,30000101000000,20140918144904,167754,,e38ae2eb-1567-3f8b-910b-a84ff07f41e1,I,,U,,,,,,,,,
517573539,1,Tourist Information Centre,KINGS CROSS VISITOR INFORMATION KIOSK,KINGS CROSS VISITOR INFORMATION KIOSK,NAMED,,26,1,20140918144830,30000101000000,20140918144904,167755,,3a561cae-77cb-3c68-bb90-7e04c231ff5b,I,,U,,,,,,,,,
